NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
67	77.174	64.18	12.061	49.845	6.608	0.785	50000.0
68	76.405	63.863	11.678	48.903	10.595	0.791	30000.0
69	76.966	64.336	11.973	49.537	18.693	0.785	80000.0
70	76.691	64.379	11.717	49.207	22.76	0.787	50000.0
71	76.361	64.117	11.673	49.014	6.578	0.788	50000.0
72	77.2	64.261	12.001	49.681	30.826	0.785	50000.0
73	76.134	63.677	11.618	48.746	14.637	0.791	40000.0
74	77.128	64.316	11.975	49.594	20.727	0.784	50000.0
75	77.138	64.324	11.973	49.696	10.639	0.784	40000.0
76	76.15	63.905	11.667	49.002	26.767	0.789	50000.0
77	77.409	64.363	12.017	49.577	14.647	0.785	40000.0
78	76.277	64.164	11.675	49.185	10.603	0.787	100000.0
79	77.45	64.581	12.038	49.839	14.658	0.785	40000.0
80	76.316	64.119	11.686	48.996	10.598	0.79	70000.0
81	77.415	64.364	12.003	49.602	14.668	0.786	40000.0
82	77.35	64.519	12.03	49.808	30.838	0.783	60000.0
83	76.51	64.185	11.701	49.19	8.626	0.788	50000.0
84	76.926	64.498	11.772	49.294	2.533	0.788	50000.0
85	77.122	64.346	12.006	49.663	10.618	0.785	70000.0
86	75.976	63.658	11.613	48.726	16.666	0.791	60000.0
87	76.18	63.917	11.653	48.999	22.741	0.789	40000.0
88	76.329	64.063	11.642	48.891	18.697	0.791	50000.0
89	77.117	64.362	11.963	49.521	12.674	0.786	30000.0
90	77.453	64.608	11.992	49.648	6.598	0.784	60000.0
91	77.47	64.489	12.051	50.082	16.662	0.784	60000.0
92	76.136	63.932	11.658	49.043	12.626	0.789	40000.0
93	76.986	64.28	11.961	49.519	12.624	0.786	30000.0
94	76.989	64.306	11.969	49.517	8.598	0.786	70000.0
95	76.129	64.056	11.696	49.162	10.644	0.787	50000.0
96	77.365	64.395	11.995	49.516	12.623	0.786	50000.0
97	76.114	64.014	11.618	48.943	10.616	0.788	50000.0
98	76.715	64.308	11.758	49.263	8.595	0.788	40000.0
99	76.11	64.012	11.639	49.079	2.592	0.79	60000.0
100	76.512	64.122	11.717	49.074	18.725	0.789	40000.0
