NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
43	88.959	72.803	13.861	55.145	0.533	0.737	20000.0
44	88.891	72.757	13.888	55.259	0.526	0.735	20000.0
45	88.713	72.516	13.848	55.095	0.524	0.736	20000.0
46	88.87	72.716	13.885	55.303	0.53	0.732	20000.0
47	89.01	72.629	13.91	55.175	0.526	0.735	20000.0
48	88.745	72.531	13.85	55.019	0.524	0.738	20000.0
49	88.926	72.776	13.865	55.171	0.527	0.735	40000.0
50	88.636	72.597	13.88	55.241	0.528	0.733	20000.0
51	88.864	72.752	13.855	55.217	0.524	0.735	30000.0
52	88.727	72.569	13.869	55.093	0.523	0.735	20000.0
53	88.868	72.739	13.884	55.223	0.526	0.735	20000.0
54	88.876	72.733	13.905	55.276	0.527	0.733	20000.0
55	88.789	72.582	13.872	55.099	0.525	0.736	20000.0
56	88.806	72.754	13.849	55.171	0.528	0.736	40000.0
57	88.797	72.64	13.859	55.157	0.53	0.735	20000.0
58	88.836	72.565	13.881	55.143	0.528	0.736	30000.0
59	88.848	72.832	13.875	55.248	0.527	0.734	20000.0
60	88.754	72.628	13.845	55.129	0.526	0.736	30000.0
61	88.804	72.758	13.871	55.213	0.528	0.735	20000.0
62	88.69	72.527	13.859	55.076	0.525	0.736	20000.0
63	88.794	72.762	13.913	55.356	0.528	0.732	20000.0
64	88.854	72.804	13.884	55.388	0.529	0.732	20000.0
65	88.816	72.611	13.842	55.069	0.524	0.736	40000.0
66	88.814	72.695	13.86	55.178	0.524	0.735	20000.0
67	88.645	72.419	13.878	55.176	0.527	0.735	30000.0
68	88.944	72.707	13.951	55.291	0.528	0.734	30000.0
69	88.906	72.771	13.894	55.207	0.528	0.735	20000.0
70	88.928	72.8	13.896	55.204	0.527	0.735	20000.0
71	88.705	72.631	13.843	55.111	0.53	0.736	20000.0
72	88.804	72.455	13.845	54.988	0.525	0.737	20000.0
73	88.804	72.627	13.872	55.162	0.528	0.735	20000.0
74	88.849	72.935	13.864	55.348	0.529	0.731	20000.0
75	88.854	72.572	13.856	55.158	0.526	0.734	30000.0
76	88.77	72.797	13.879	55.288	0.528	0.732	30000.0
77	88.792	72.606	13.85	55.042	0.525	0.736	30000.0
78	88.681	72.74	13.831	55.137	0.526	0.735	40000.0
79	88.768	72.566	13.857	55.077	0.527	0.737	20000.0
80	88.771	72.57	13.875	55.046	0.525	0.737	30000.0
81	89.066	72.726	13.944	55.287	0.534	0.735	30000.0
82	88.85	72.831	13.839	55.132	0.531	0.736	30000.0
83	88.777	72.739	13.835	55.118	0.527	0.736	20000.0
84	88.839	72.81	13.866	55.215	0.526	0.735	30000.0
85	88.826	72.711	13.879	55.377	0.527	0.733	20000.0
86	88.75	72.753	13.825	55.152	0.528	0.735	20000.0
87	88.904	72.885	13.871	55.302	0.53	0.732	30000.0
88	89.02	72.813	13.961	55.399	0.527	0.732	20000.0
89	88.741	72.752	13.835	55.154	0.526	0.735	20000.0
90	88.883	72.787	13.871	55.206	0.526	0.735	30000.0
91	88.825	72.642	13.894	55.222	0.524	0.734	40000.0
92	88.736	72.634	13.857	55.217	0.526	0.734	20000.0
93	88.776	72.555	13.877	55.18	0.526	0.735	20000.0
94	88.772	72.55	13.87	55.029	0.526	0.738	20000.0
95	88.869	72.695	13.866	55.176	0.525	0.736	20000.0
96	89.028	72.782	13.882	55.106	0.524	0.737	20000.0
97	88.697	72.733	13.83	55.171	0.527	0.734	20000.0
98	88.934	72.774	13.868	55.183	0.529	0.736	20000.0
99	88.758	72.581	13.85	55.029	0.528	0.738	40000.0
100	88.877	72.75	13.867	55.176	0.525	0.735	40000.0
